imo,count imo,mmsi,count mmsi
0,127,211000000,1
0,127,312879000,1
0,127,341633000,1
0,127,345332215,1
0,127,352002651,1
0,127,412431380,1
0,127,412463850,1
0,127,412701860,1
0,127,413205180,1
0,127,413495950,1
0,127,457039000,1
0,127,457385000,1
0,127,457900071,1
0,127,457900369,1
0,127,511756000,1
0,127,525000000,26
0,127,525000001,7
0,127,525000002,1
0,127,525000009,1
0,127,525000010,4
0,127,525000067,1
0,127,525000888,1
0,127,525001012,1
0,127,525001035,1
0,127,525001054,1
0,127,525001075,2
0,127,525001137,1
0,127,525001234,1
0,127,525002017,1
0,127,525002061,2
0,127,525002085,3
0,127,525003001,1
0,127,525003114,1
0,127,525003219,1
0,127,525003220,1
0,127,525003265,1
0,127,525003271,1
0,127,525003440,1
0,127,525003442,1
0,127,525003537,1
0,127,525003603,1
0,127,525003618,1
0,127,525003620,2
0,127,525003666,1
0,127,525003674,1
0,127,525004082,1
0,127,525005002,3
0,127,525005013,2
0,127,525005047,2
0,127,525005063,1
0,127,525005077,1
0,127,525005224,1
0,127,525005231,1
0,127,525005241,3
0,127,525005352,1
0,127,525005374,1
0,127,525006204,1
0,127,525006206,1
0,127,525006216,2
0,127,525006227,1
0,127,525006236,1
0,127,525006644,1
0,127,525007011,1
0,127,525007120,2
0,127,525007164,1
0,127,525007258,2
0,127,525007276,1
0,127,525007283,1
0,127,525007298,1
0,127,525007369,1
0,127,525007375,1
0,127,525007378,1
0,127,525007394,1
0,127,525009090,1
0,127,525009119,3
0,127,525009280,1
0,127,525009289,1
0,127,525009343,1
0,127,525010095,1
0,127,525010212,1
0,127,525010306,1
0,127,525010322,2
0,127,525010363,1
0,127,525010370,1
0,127,525010376,1
0,127,525010381,1
0,127,525010382,1
0,127,525010385,2
0,127,525011020,1
0,127,525012213,1
0,127,525013029,2
0,127,525014065,2
0,127,525014075,1
0,127,525014154,1
0,127,525015009,1
0,127,525015260,2
0,127,525015287,2
0,127,525015474,3
0,127,525015645,1
0,127,525015931,3
0,127,525015981,1
0,127,525016328,1
0,127,525016491,1
0,127,525016718,1
0,127,525016752,1
0,127,525017024,1
0,127,525018002,2
0,127,525018018,1
0,127,525018088,1
0,127,525018094,2
0,127,525018200,1
0,127,525018346,1
0,127,525018370,1
0,127,525018413,1
0,127,525019018,1
0,127,525019112,2
0,127,525019114,1
0,127,525019234,1
0,127,525019530,2
0,127,525019595,1
0,127,525019605,1
0,127,525020292,3
0,127,525020293,1
0,127,525020310,1
0,127,525020348,1
0,127,525020364,2
0,127,525020365,2
0,127,525020368,1
0,127,525020406,1
0,127,525020432,1
0,127,525021058,1
0,127,525021214,1
0,127,525021394,2
0,127,525021403,1
0,127,525022020,1
0,127,525022027,1
0,127,525022039,2
0,127,525022042,1
0,127,525022052,1
0,127,525022117,1
0,127,525022145,1
0,127,525022178,1
0,127,525022208,1
0,127,525022324,1
0,127,525022410,1
0,127,525022416,2
0,127,525022424,1
0,127,525022453,1
0,127,525023054,1
0,127,525023122,1
0,127,525023222,1
0,127,525023276,1
0,127,525023279,3
0,127,525023309,1
0,127,525023330,1
0,127,525023342,1
0,127,525023368,1
0,127,525023417,1
0,127,525023432,1
0,127,525023439,1
0,127,525024147,1
0,127,525024199,1
0,127,525024213,1
0,127,525024228,1
0,127,525024274,1
0,127,525024277,1
0,127,525024404,1
0,127,525033642,1
0,127,525060609,1
0,127,525066077,1
0,127,525100020,1
0,127,525100049,1
0,127,525100104,1
0,127,525100139,1
0,127,525100195,1
0,127,525100252,1
0,127,525100280,1
0,127,525100340,1
0,127,525100347,1
0,127,525100404,2
0,127,525100408,1
0,127,525100540,1
0,127,525100724,1
0,127,525100725,1
0,127,525100726,1
0,127,525100728,1
0,127,525100800,1
0,127,525100865,1
0,127,525100909,1
0,127,525100937,1
0,127,525101003,3
0,127,525101006,1
0,127,525101010,1
0,127,525101050,2
0,127,525101072,2
0,127,525101080,1
0,127,525101129,2
0,127,525101130,2
0,127,525101163,1
0,127,525101171,1
0,127,525101352,1
0,127,525101375,1
0,127,525101660,1
0,127,525101801,1
0,127,525101916,1
0,127,525113002,2
0,127,525114047,1
0,127,525114117,1
0,127,525119004,2
0,127,525119034,3
0,127,525119156,1
0,127,525119166,2
0,127,525119196,1
0,127,525121046,2
0,127,525121063,2
0,127,525125002,2
0,127,525200299,1
0,127,525200332,2
0,127,525200401,2
0,127,525200413,1
0,127,525200610,1
0,127,525200750,1
0,127,525200776,1
0,127,525200789,1
0,127,525200808,1
0,127,525200860,1
0,127,525200948,3
0,127,525201375,1
0,127,525201456,1
0,127,525201495,1
0,127,525201863,1
0,127,525208002,1
0,127,525291000,2
0,127,525300027,2
0,127,525300179,1
0,127,525300218,1
0,127,525300309,1
0,127,525300310,1
0,127,525300326,1
0,127,525300362,1
0,127,525300471,1
0,127,525300475,1
0,127,525300538,1
0,127,525300554,1
0,127,525300556,1
0,127,525300569,1
0,127,525300592,1
0,127,525300632,1
0,127,525300701,1
0,127,525300722,1
0,127,525300753,1
0,127,525300844,1
0,127,525300858,1
0,127,525300890,1
0,127,525300964,1
0,127,525301035,1
0,127,525301326,1
0,127,525301531,1
0,127,525301863,1
0,127,525301973,1
0,127,525308129,1
0,127,525322290,1
0,127,525400232,1
0,127,525400555,1
0,127,525400584,1
0,127,525400623,1
0,127,525400674,1
0,127,525400685,1
0,127,525400751,1
0,127,525401031,1
0,127,525401104,1
0,127,525401179,2
0,127,525401192,1
0,127,525401227,1
0,127,525401336,1
0,127,525401397,1
0,127,525401500,1
0,127,525401534,1
0,127,525401819,1
0,127,525500142,2
0,127,525500143,1
0,127,525500148,1
0,127,525500236,1
0,127,525500267,1
0,127,525500371,1
0,127,525500384,1
0,127,525500432,1
0,127,525500822,1
0,127,525501371,1
0,127,525501397,1
0,127,525501429,1
0,127,525501537,1
0,127,525501556,1
0,127,525501582,1
0,127,525501623,1
0,127,525501789,1
0,127,525501851,1
0,127,525501857,1
0,127,525501884,1
0,127,525600013,1
0,127,525600308,2
0,127,525600360,2
0,127,525600467,2
0,127,525600776,1
0,127,525600798,2
0,127,525601108,1
0,127,525601345,2
0,127,525601570,2
0,127,525601583,1
0,127,525601606,1
0,127,525601649,1
0,127,525601650,1
0,127,525601651,1
0,127,525601714,1
0,127,525601783,1
0,127,525601786,1
0,127,525601859,1
0,127,525601913,1
0,127,525601953,1
0,127,525700265,1
0,127,525700288,1
0,127,525700312,1
0,127,525700350,1
0,127,525700489,1
0,127,525701015,1
0,127,525701119,1
0,127,525701135,1
0,127,525701141,1
0,127,525701234,1
0,127,525701516,2
0,127,525701517,1
0,127,525701529,1
0,127,525701550,1
0,127,525701662,1
0,127,525701812,1
0,127,525767576,1
0,127,525777701,1
0,127,525800142,1
0,127,525800641,1
0,127,525801277,1
0,127,525801405,1
0,127,525801533,1
0,127,525801704,1
0,127,525801792,1
0,127,525801943,2
0,127,525878705,1
0,127,525900700,1
0,127,525900742,1
0,127,525900942,1
0,127,525990129,1
0,127,525999129,1
0,127,526065602,1
0,127,529935000,1
0,127,533728100,1
0,127,538008565,1
0,127,542363110,1
0,127,548001826,1
0,127,548087822,1
0,127,548587800,1
0,127,548999086,1
0,127,548999088,1
0,127,565300004,1
0,127,566784656,1
0,127,572649210,1
0,127,574002020,1
0,127,667001856,1
0,127,888888888,1
123456789,7,525000000,26
123456789,7,525000001,7
123456789,7,525000005,1
123456789,7,525023149,2
123456789,7,525114013,1
123456789,7,525300027,2
123456789,7,666000001,7
1597500,5,525001052,2
1597500,5,525019419,1
1597500,5,525019451,1
1597500,5,525019478,2
1597500,5,525123456,4
9265744,4,613464706,1
9265744,4,626251000,1
9265744,4,671318100,1
9265744,4,677035300,1
9320051,3,210142000,1
9246786,3,215511000,1
9431757,3,229075000,1
9246786,3,247069800,1
9448580,3,247286800,1
9330795,3,257921000,1
9295579,3,311007700,1
9330795,3,319062200,1
9295579,3,341115002,1
9188788,3,341364000,1
9381342,3,352001331,1
9289881,3,352002005,1
