cluster_id,h3_int_r5
1,601588994265841663
1,601588995339583487
1,601589009298227199
1,601589010371969023
1,601589011445710847
1,601589012519452671
1,601589014666936319
1,601589017888161791
1,601589020035645439
1,601589022183129087
1,601589023256870911
1,601589024330612735
1,601589176801951743
1,601589177875693567
2,600993773001900031
2,601738183176093695
2,601738185323577343
2,601738190692286463
2,601738191766028287
2,601738192839770111
2,601738193913511935
2,601738194987253759
2,601738196060995583
2,601738197134737407
2,601738208945897471
2,601738212167122943
2,601738213240864767
2,601738227199508479
3,600758663270891519
3,600758664344633343
3,600758667565858815
3,600758668639600639
3,600758669713342463
3,600758697630629887
3,600758698704371711
3,600758699778113535
3,600758700851855359
3,601456659881000959
3,601456689945772031
3,601456692093255679
3,601456694240739327
3,601456696388222975
4,601604664454021119
4,601604665527762943
4,601604694518792191
4,601604695592534015
4,601604696666275839
4,601604697740017663
4,601604698813759487
4,601604699887501311
4,601604700961243135
4,601604709551177727
4,601604712772403199
4,601604717067370495
4,601606748586901503
4,601606750734385151
5,601605248569573375
5,601607272572911615
5,601607274720395263
5,601607280089104383
5,601607281162846207
5,601607282236588031
5,601607283310329855
5,601607284384071679
5,601607285457813503
5,601607286531555327
5,601607297268973567
5,601607298342715391
5,601607301563940863
5,601607302637682687
6,600993801992929279
6,600995049680928767
6,600995050754670591
6,600995052902154239
6,600995053975896063
6,600995055049637887
6,600995058270863359
6,600995062565830655
6,600995063639572479
6,600995064713314303
6,600995087261892607
6,600995092630601727
6,600995093704343551
6,600995094778085375
6,600995095851827199
6,600995096925569023
6,600995099073052671
7,601604419640885247
7,601604420714627071
7,601604422862110719
7,601604423935852543
7,601604425009594367
7,601604428230819839
7,601604432525787135
7,601604433599528959
7,601604434673270783
7,601604671970213887
7,601604746058399743
7,601604747132141567
7,601604748205883391
7,601604749279625215
7,601604750353367039
7,601604752500850687
8,601602237797498879
8,601602242092466175
8,601602243166207999
8,601602244239949823
8,601602481536892927
8,601602486905602047
8,601602489053085695
8,601602490126827519
8,601602493348052991
8,601602612533395455
8,601602641524424703
8,601602642598166527
8,601602643671908351
8,601602644745650175
8,601602645819391999
8,601602646893133823
8,601602647966875647
9,601604488360361983
9,601604489434103807
9,601604490507845631
9,601604491581587455
9,601604492655329279
9,601604493729071103
9,601604494802812927
9,601604501245263871
9,601604503392747519
9,601604738542206975
9,601604739615948799
9,601604740689690623
9,601607288679038975
9,601607290826522623
9,601607291900264447
9,601607292974006271
9,601607295121489919
10,600822727003078655
10,600822728076820479
10,600822729150562303
10,600822730224304127
10,600822731298045951
10,600822732371787775
10,600822733445529599
10,600822882695643135
10,600822886990610431
10,600823631093694463
10,600823633241178111
10,600823635388661759
10,600823646126079999
10,600823650421047295
10,600823651494789119
10,600823652568530943
11,601471658980540415
11,601611258302562303
11,601611262597529599
11,601611265818755071
11,601611270113722367
11,601611271187464191
11,601611300178493439
11,601611301252235263
11,601611302325977087
11,601611303399718911
11,601611304473460735
11,601611305547202559
11,601611306620944383
11,601611377487904767
11,601611379635388415
11,601611381782872063
11,601611383930355711
12,600822089200435199
12,600822099937853439
12,600822104232820735
12,600822105306562559
12,600822106380304383
12,600822134297591807
12,600822135371333631
12,600822136445075455
12,600822137518817279
12,600822138592559103
12,600822140740042751
12,600822503664779263
12,600822504738521087
12,600822509033488383
12,600822541245743103
13,600821739160600575
13,600821740234342399
13,600821741308084223
13,600821742381826047
13,600821743455567871
13,600821744529309695
13,600821745603051519
13,600821754192986111
13,600821757414211583
13,600821761709178879
13,600821769225371647
13,600821770299113471
13,600821784257757183
13,600821791773949951
14,600993405782196223
14,600993413298388991
14,600993414372130815
14,600993443363160063
14,600993444436901887
14,600993445510643711
14,600993446584385535
