cluster_id,h3_int_r8
1,615099808218087423
1,615099808222281727
1,615099808232767487
1,615099808234864639
1,615099808236961791
1,615099808239058943
1,615099808320847871
1,615099808322945023
1,615099808350207999
1,615099808352305151
1,615099808354402303
1,615099808356499455
1,615099808358596607
1,615099808360693759
1,615099808362790911
1,615099808366985215
1,615099808369082367
1,615099808371179519
1,615099808373276671
1,615099808375373823
1,615099808377470975
1,615099808379568127
1,615099808421511167
1,615099808423608319
1,615099808585089023
1,615099808587186175
1,615099808589283327
1,615099808591380479
1,615099808593477631
1,615099808595574783
1,615099808597671935
1,615099808601866239
1,615099808603963391
1,615099808606060543
1,615099808608157695
1,615099808610254847
1,615099808612351999
1,615099808614449151
1,615099808618643455
1,615099808620740607
1,615099808622837759
1,615099808624934911
1,615099808627032063
1,615099808629129215
1,615099808631226367
1,615099808635420671
1,615099808637517823
1,615099808639614975
1,615099808641712127
1,615099808643809279
1,615099808645906431
1,615099808648003583
1,615099808652197887
1,615099808654295039
1,615099808656392191
1,615099808658489343
1,615099808660586495
1,615099808662683647
1,615099808664780799
1,615099808668975103
1,615099808671072255
1,615099808673169407
1,615099808675266559
1,615099808677363711
1,615099808679460863
1,615099808681558015
1,615099808685752319
1,615099808687849471
1,615099808689946623
1,615099808692043775
1,615099808694140927
1,615099808696238079
1,615099811017785343
1,615099811019882495
1,615099811021979647
1,615099811024076799
1,615099811026173951
1,615099811028271103
1,615099811030368255
1,615099811059728383
1,615099811061825535
1,615099811086991359
1,615099811091185663
1,615099811095379967
1,615099820375277567
1,615099822208188415
1,615099822212382719
1,615099822216577023
1,615099822220771327
1,615099822677950463
1,615099822680047615
1,615099822682144767
1,615099822684241919
1,615099822686339071
1,615099822688436223
1,615099822690533375
1,615099822711504895
1,615099822713602047
1,615099822715699199
1,615099822717796351
1,615099822719893503
1,615099822721990655
1,615099822724087807
1,615099822732476415
1,615099822740865023
1,615099822745059327
1,615099822747156479
1,615099822749253631
1,615099822751350783
1,615099822753447935
1,615099822755545087
1,615099822757642239
1,615099822761836543
1,615099822766030847
1,615099822770225151
1,615099822774419455
1,615099822778613759
1,615099822780710911
1,615099822782808063
1,615099822784905215
1,615099822787002367
1,615099822789099519
1,615099822791196671
1,615099822946385919
1,615099822948483071
1,615099822954774527
1,615099822956871679
1,615099822958968831
